Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
Junichi Sato,Junichi Sato,,0,2,0,2,2,0,2,0,0,0,0,1,0,14221
Timeline Of Events Preceding World War Ii,Timeline Of Events Preceding World War Ii,,0,2,0,2,2,0,2,0,0,0,0,14,0,5019
Noticias Univision,Noticias Univision,,0,2,0,2,2,0,2,0,0,0,0,8,0,1158
William Bligh,William Bligh,,0,4,0,4,4,0,4,0,0,0,0,16,0,9037
Charles Dawson,Charles Dawson,,0,2,0,2,2,0,2,0,0,0,0,3,0,18769
Medievalism,Medievalism,,0,7,0,7,7,0,7,0,0,0,0,2,0,9275
Ted Billings,Ted Billings,,0,2,0,2,2,0,2,0,0,0,0,9,0,7784
U.S. News & World Report Best Global University Ranking,U.S. News & World Report Best Global University Ranking,,0,2,0,2,2,0,2,0,0,0,0,8,0,927
Antimagnetic Watch,Antimagnetic Watch,,0,2,0,2,2,0,2,0,0,0,0,18,0,563
"Toledo, Spain","Toledo, Spain",,0,2,0,2,2,0,2,0,0,0,0,18,0,6376
Comprehensive School,Comprehensive School,,0,2,0,2,2,0,2,0,0,0,0,2,0,11830
"Pnu-282,987","Pnu-282,987",,0,2,0,2,2,0,2,0,0,0,0,12,0,10096
Fort Kinnaird,Fort Kinnaird,,0,2,0,2,2,0,2,0,0,0,0,18,0,6268
Battle Of Xinkou,Battle Of Xinkou,,0,2,0,2,2,0,2,0,0,0,0,14,0,5932
Masculine,Masculine,,0,2,0,2,2,0,2,0,0,0,0,6,0,8655
Original Sin (Lane Novel),Original Sin (Lane Novel),,0,2,0,2,2,0,2,0,0,0,0,10,0,13450
Jeet Kune Do,Jeet Kune Do,,0,5,0,5,5,0,5,0,0,0,0,6,0,13388
Children Galore,Children Galore,,0,2,0,2,2,0,2,0,0,0,0,9,0,18340
Tajikistan,Tajikistan,,0,4,0,4,4,0,4,0,0,0,0,14,0,2386
The Princess And The Pilot,The Princess And The Pilot,,0,3,0,3,3,0,3,0,0,0,0,1,0,7726
The Journal (Student Newspaper),The Journal (Student Newspaper),,0,2,0,2,2,0,2,0,0,0,0,18,0,4978
Yūko Takeuchi,Yūko Takeuchi,,0,5,24,29,5,24,29,3,0.348529,0.355519,2939.627049,1,0,20032
Scotland Act 2016,Scotland Act 2016,,0,2,0,2,2,0,2,0,0,0,0,16,0,3795
Auteur,Auteur,,0,3,0,3,3,0,3,0,0,0,0,6,0,13229
Architecture,Architecture,,0,5,0,5,5,0,5,0,0,0,0,17,0,9453
Music-Hall,Music-Hall,,0,10,0,10,10,0,10,0,0,0,0,9,0,8
Edward Fox (Actor),Edward Fox (Actor),,0,3,0,3,3,0,3,0,0,0,0,9,0,11218
Belgium In World War Ii,Belgium In World War Ii,,0,3,0,3,3,0,3,0,0,0,0,14,0,5912
Iso 10006,Iso 10006,,0,2,0,2,2,0,2,0,0,0,0,18,0,445
Shires Of Scotland,Shires Of Scotland,,0,2,0,2,2,0,2,0,0,0,0,16,0,3784
Rm-Odp,Rm-Odp,,0,2,0,2,2,0,2,0,0,0,0,18,0,196
Barry Foster (Actor),Barry Foster (Actor),,0,11,0,11,11,0,11,0,0,0,0,3,0,15303
Martin Clunes,Martin Clunes,,0,4,0,4,4,0,4,0,0,0,0,3,0,13523
With Child,With Child,,0,14,0,14,14,0,14,0,0,0,0,10,0,3583
Bernice Summerfield,Bernice Summerfield,,0,7,0,7,7,0,7,0,0,0,0,10,0,14248
Centre For Theology And Public Issues,Centre For Theology And Public Issues,,0,2,0,2,2,0,2,0,0,0,0,18,0,18556
Jane Fonda,Jane Fonda,,0,2,0,2,2,0,2,0,0,0,0,2,0,11183
Saban'S Adventures Of Oliver Twist,Saban'S Adventures Of Oliver Twist,,0,2,0,2,2,0,2,0,0,0,0,11,0,7970
Glove,Glove,,0,3,0,3,3,0,3,0,0,0,0,6,0,14982
Journeyman (Sports),Journeyman (Sports),,0,3,0,3,3,0,3,0,0,0,0,6,0,13652
Romanian Anti-Communist Resistance Movement,Romanian Anti-Communist Resistance Movement,,0,3,0,3,3,0,3,0,0,0,0,14,0,5125
1857 United Kingdom General Election,1857 United Kingdom General Election,,0,2,0,2,2,0,2,0,0,0,0,16,0,18047
Psychopath,Psychopath,,0,3,0,3,3,0,3,0,0,0,0,10,0,10610
Asphyxia,Asphyxia,,0,2,0,2,2,0,2,0,0,0,0,4,0,12911
The Speckled Band (Play),The Speckled Band (Play),,0,35,53,88,35,53,88,3,0.34829,0.355655,3443.094776,3,0,20032
"Minerva Theatre, Chichester","Minerva Theatre, Chichester",,0,2,0,2,2,0,2,0,0,0,0,2,0,16695
Vestry House Museum,Vestry House Museum,,0,2,0,2,2,0,2,0,0,0,0,16,0,4462
Political Status Of Crimea,Political Status Of Crimea,,0,2,0,2,2,0,2,0,0,0,0,18,0,6452
Julia Kristeva,Julia Kristeva,,0,2,0,2,2,0,2,0,0,0,0,7,0,19629
Earle Cross,Earle Cross,,0,2,0,2,2,0,2,0,0,0,0,10,0,15205
Martin Seligman,Martin Seligman,,0,3,0,3,3,0,3,0,0,0,0,12,0,17542
Albert Bandura,Albert Bandura,,0,3,0,3,3,0,3,0,0,0,0,12,0,17660
Mumblecore,Mumblecore,,0,2,0,2,2,0,2,0,0,0,0,6,0,8627
Bournemouth,Bournemouth,,0,3,0,3,3,0,3,0,0,0,0,16,0,16497
Nancy Holder,Nancy Holder,,0,2,0,2,2,0,2,0,0,0,0,10,0,13406
Scott Baker (Writer),Scott Baker (Writer),,0,2,0,2,2,0,2,0,0,0,0,13,0,4769
Performing Flea,Performing Flea,,0,2,0,2,2,0,2,0,0,0,0,13,0,17170
Glee (Tv Series),Glee (Tv Series),,0,2,0,2,2,0,2,0,0,0,0,1,0,14503
Eswatini In World War Ii,Eswatini In World War Ii,,0,3,0,3,3,0,3,0,0,0,0,14,0,5725
Biarritz,Biarritz,,0,3,0,3,3,0,3,0,0,0,0,7,0,17275
The Return Of Sherlock Holmes (Play),The Return Of Sherlock Holmes (Play),,0,39,37,76,39,37,76,3,0.34616,0.352454,1334.769866,3,0,20032
Mwa Grand Master Award,Mwa Grand Master Award,,0,2,0,2,2,0,2,0,0,0,0,5,0,18848
The Diamond Brothers,The Diamond Brothers,,0,37,101,138,37,101,138,3,0.351074,0.36022,13434.585345,4,0,20032
Anpanman,Anpanman,,0,3,0,3,3,0,3,0,0,0,0,1,0,15138
Simplicius Of Cilicia,Simplicius Of Cilicia,,0,2,0,2,2,0,2,0,0,0,0,18,0,2880
Franciszek Ksawery Lampi,Franciszek Ksawery Lampi,,0,5,0,5,5,0,5,0,0,0,0,7,0,9554
Social History Of The United Kingdom (1979–Present),Social History Of The United Kingdom (1979–Present),,0,6,0,6,6,0,6,0,0,0,0,16,0,3779
Edinburgh University Boat Club,Edinburgh University Boat Club,,0,2,0,2,2,0,2,0,0,0,0,18,0,18540
Phoenix Wright: Ace Attorney − Justice For All,Phoenix Wright: Ace Attorney − Justice For All,,0,2,0,2,2,0,2,0,0,0,0,15,0,19418
October 1974 United Kingdom General Election,October 1974 United Kingdom General Election,,0,2,0,2,2,0,2,0,0,0,0,16,0,3947
Catacombs Of Paris,Catacombs Of Paris,,0,2,0,2,2,0,2,0,0,0,0,15,0,2774
Laurence Rees,Laurence Rees,,0,3,0,3,3,0,3,0,0,0,0,14,0,5418
